// Définitions incertaines

// Difficulté à trouver le bon mot en parlant
paralalie;BAVARDAGE  À COTÉ
orométrie;MESURE  DE LA BOUCHE
orométrique;MESURAGE  DE LA BOUCHE
oronyme;NOM  DE LA BOUCHE
oronymie;NOM  DE LA BOUCHE
orophyte;VÉGÉTAL  DE LA BOUCHE
orothérapie;MÉDECINE  DE LA BOUCHE
parabole;JET  CONTRE
parabolique;JET  CONTRE
paracentèse;PIQURE  CONTRE
paracentre;CENTRE  CONTRE
paracentrique;CENTRÉ  CONTRE
paracéphale;TÊTE  CONTRE
parachimie;CHIMIE  CONTRE
parachimique;CHIMIQUE  CONTRE
parachronisme;TEMPORALITÉ  CONTRE
paradoxe;OPINION  À COTÉ
paradoxie;OPINION  À COTÉ
paraesthésie;SENSATION  CONTRE
paragenèse;CRÉATION  CONTRE
paragénésie;CRÉATION  CONTRE
paragnathe;MÂCHOIRE  CONTRE
paragnosie;CONNAISSANCE  CONTRE
paragraphe;QUI ÉCRIT  CONTRE
paragraphie;ÉCRITURE  CONTRE
parakinésie;MOUVEMENT  À COTÉ
paralexie;LECTURE  À COTÉ
paralogique;ÉTUDE  À COTÉ
paralogisme;ÉTUDE  À COTÉ
paralyse;DÉCOMPOSITION  À COTÉ
paralysie;DÉCOMPOSITION  À COTÉ
paralytique;DÉCOMPOSITION  À COTÉ
paramagnétique;AIMANTATION  À COTÉ
paramagnétisme;AIMANTATION  À COTÉ
paramètre;MESUREUR  CONTRE
paramétrique;MESURAGE  CONTRE
paramimie;IMITATION  À COTÉ
paramnésie;MÉMOIRE  À COTÉ
paramnésique;MÉMOIRE  À COTÉ
paramorphisme;FORME  À COTÉ
paraphasie;DIRE  À COTÉ
paraphasique;DIRE  À COTÉ
paraphilie;AMOUR  À COTÉ
paraphonie;VOIX  À COTÉ
paraphrène;ESPRIT  À COTÉ
paraphrénie;ESPRIT  À COTÉ
paraphyse;PRODUCTION / CROISSANCE  CONTRE
paraphysique;PHYSIQUE  CONTRE
parapithèque;SINGE  CONTRE
paraplasme;FORMÉ(E) DE  CONTRE
paraplégie;PARALYSIE  À COTÉ
paraplégique;PARALYSIE  À COTÉ
parapode;PIED  CONTRE
paraptère;AILE  CONTRE
parasélène;LUNE  CONTRE
parasite;NOURRITURE  CONTRE
parasynthèse;COMPOSITION  À COTÉ
parataxie;DISPOSITION  CONTRE
paratomie;DÉCOUPE  CONTRE
paratope;LIEU  CONTRE
paratype;EMPREINTE  CONTRE
parazoaire;ANIMAL  CONTRE
paresse;FÉMININ  À TRAVERS / DE PART EN PART / TERMINER / INTENSE
paresse;QUALITÉ  À TRAVERS / DE PART EN PART / TERMINER / INTENSE
pédagogue;CONDUCTION -> ÉCOULEMENT  DE L'ENFANT
pédimane;MANIAQUE  DU PIED
pentagone;PROCRÉATION  CINQ
polygone;PROCRÉATION  MULTIPLE
psychagogue;CONDUCTION -> ÉCOULEMENT  DE L'ÂME
publiable;QUI PEUT ÊTRE  DE LA PUBLICITÉ
publiphone;VOIX  DE LA PUBLICITÉ
pyromane;MAIN  DU FEU
quadrumane;MANIAQUE  QUATRE
sidérable;QUI PEUT ÊTRE  DU FER
sidération;ACTION  DU FER
sidérémie;SANG  DE L'ASTRE -> DE LA STUPEUR
sidérite;INFLAMMATION  DE L'ASTRE -> DE LA STUPEUR
sidérite;INFLAMMATION  DU FER
sidérurgie;TRAVAIL  DE L'ASTRE -> DE LA STUPEUR
sidérurgique;TRAVAIL  DE L'ASTRE -> DE LA STUPEUR
sidérurie;URINE  DE L'ASTRE -> DE LA STUPEUR
sporogone;ANGLE  DE L'ENSEMENCEMENT / DE LA DISSÉMINATION / DE LA DISPERSION
statocratie;GOUVERNANCE  FIXÉ(E)
statocratie;GOUVERNANCE  IMMOBILE
statocratique;GOUVERNANCE  FIXÉ(E)
statocratique;GOUVERNANCE  IMMOBILE
statocyste;VESSIE -> VÉSICULE  DE L'ÉTAT
statocyste;VESSIE -> VÉSICULE  FIXÉ(E)
statolâtrie;SERVITEUR -> MERCENAIRE -> ADORATION  FIXÉ(E)
statolâtrie;SERVITEUR -> MERCENAIRE -> ADORATION  IMMOBILE
stratocratie;GOUVERNANCE  DE LA STRATE
stratopause;CESSATION  DE L'ARMÉE
stratosphère;SPHÈRE  DE L'ARMÉE
stratosphérique;SPHÈRE  DE L'ARMÉE
stratotype;EMPREINTE  DE L'ARMÉE
synagogue;CONDUCTION -> ÉCOULEMENT  AVEC
tétragone;PROCRÉATION  QUATRE
toxicomane;MAIN  TOXIQUE
transdermique;PEAU  DE LA MODIFICATION
transducteur;QUI CONDUIT  DE LA MODIFICATION
transfère;PORTER  DE LA MODIFICATION
transforme;FORME  DU PASSAGE À TRAVERS / AU-DELÀ
transformisme;FORME  DU PASSAGE À TRAVERS / AU-DELÀ
transfuge;FUITE  DE LA MODIFICATION
transgène;GÉNÉRATEUR / ORIGINE  DE LA MODIFICATION
transgenèse;CRÉATION  DE LA MODIFICATION
transgénèse;CRÉATION  DE LA MODIFICATION
transgénique;DÉVELOPPEMENT  DE LA MODIFICATION
transphobe;QUI A HORREUR  DU PASSAGE À TRAVERS / AU-DELÀ
transphobie;AVERSION  DU PASSAGE À TRAVERS / AU-DELÀ
transport;PASSAGE  DE LA MODIFICATION
transsexuel;SEXUALITÉ  DU PASSAGE À TRAVERS / AU-DELÀ
trigone;PROCRÉATION  TRIPLE

nymphomane;MAIN  DE LA NYMPHE -> DU DÉSIR FÉMININ / DU SEXE FÉMININ

osmomètre;MESUREUR  DE L'ODEUR
osmométrie;MESURE  DE L'ODEUR
osmométrique;MESURAGE  DE L'ODEUR
osmotrophe;NOURRITURE / CROISSANCE  DE L'ODEUR

dodécagone;PROCRÉATION  DOUZE

ennéagone;PROCRÉATION  NEUF (NEUVE)

téragone;PROCRÉATION  DU MONSTRE -> MILLE MILLIARDS (10^12)

heptagone;PROCRÉATION  SEPT

oogone;ANGLE  DE L'OEUF

tératome;COUPURE  DU MONSTRE -> MILLE MILLIARDS (10^12)

antique;À PROPOS  CONTRE

sélénite;INFLAMMATION  DE LA LUNE

compète;QUI VA VERS  AVEC
perpète;QUI VA VERS  À TRAVERS / DE PART EN PART / TERMINER / INTENSE

acanthite;INFLAMMATION  DE L'ÉPINE

// fibros-ite
fibrosite;NOURRITURE  À L’EXTRÉMITÉ -> DE LA FIBRE
// pétros-ite
pétrosite;NOURRITURE  DE LA PIERRE

pétasite;NOURRITURE  10^15

homonyme;NOM  DE L'HOMME

toxoïde;APPARENCE  ARC

// distome : BOUCHE  DOUBLE : di - stome : juste (et non pas dis-tome)
distome;COUPURE  DE LA SÉPARATION

// dystomie : Trouble de la prononciation dys-stomie : trouble de la bouche : manque un s
dystomie;DÉCOUPE  DU TROUBLE

// Dérivé d’actinium, le premier élément de la série.
actinide;APPARENCE  DU RAYON

// Du poignet plutôt
carpite;INFLAMMATION  DU FRUIT

// Homme qui siège avec d'autres collègues dans une assemblée
synèdre;BASE -> FACE  AVEC

// Mode de reproduction par autofécondation, par exemple des protozoaires  
pédogamie;MARIAGE  DE L'ENFANT

// Il s'agit bien d'une inflammation
anite;INFLAMMATION  SANS

plantation;ACTION  DE LA PLANTE


// Mots avec deux préfixes et un suffixe

acétomètre;MESUREUR  SANS DU CÉTACÉ

aéroélectrique;À PROPOS  SANS DU DÉSIR DE L'AMBRE -> DE L'ÉLECTRICITÉ
aéroélectrique;ÉLECTRIQUE  SANS DU DÉSIR // a - éro - électrique
//aéroélectrique;À PROPOS  DE L'AIR DE L'AMBRE -> DE L'ÉLECTRICITÉ

aéromètre;MESUREUR  SANS DU DÉSIR

aérotransport;PASSAGE  DE L'AIR DE LA MODIFICATION // aéro - trans - port

anacyclique;À PROPOS  SANS SANS DE LA ROUE
anacyclique;CIRCULARITÉ  SANS SANS
anacyclique;À PROPOS  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DE LA ROUE
//anacyclique : CIRCULARITÉ  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT : ana - cyclique

anaérobie;VIE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DU DÉSIR
//anaérobie;VIE  SANS DE L'AIR

analeptique;À PROPOS  SANS SANS MINCE
analeptique;ATTAQUE  SANS SANS
analeptique;À PROPOS  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT MINCE

anamorphique;À PROPOS  SANS SANS DE LA FORME
anamorphique;FORME  SANS SANS
anamorphique;À PROPOS  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DE LA FORME
//anamorphique : FORME  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT : ana - morphique

andésite;NOURRITURE  SANS ENLEVER
andésite;INFLAMMATION  SANS ENLEVER

//aneurogène;GÉNÉRATEUR / ORIGINE  SANS DE L'EURO
aneurogène;GÉNÉRATEUR / ORIGINE  SANS DES NERFS

//anorogénique;DÉVELOPPEMENT  SANS DE LA MONTAGNE
anorogénique;DÉVELOPPEMENT  SANS DE LA BOUCHE

anthérozoïde;ANIMAL  DE LA FLEUR DU DÉSIR
//anthérozoïde;ANIMAL  SANS DE LA BÊTE

//anticonformisme;FORME  CONTRE AVEC
anticonformisme;FORME  CONTRE DE L'IMAGE

//antiparasite;NOURRITURE  CONTRE À COTÉ
antiparasite;NOURRITURE  CONTRE CONTRE

biotransforme;FORME  DE LA VIE DE LA MODIFICATION
//biotransforme;FORME  DE LA VIE DU PASSAGE À TRAVERS / AU-DELÀ

chloruration;ACTION  CHLORÉ(E) DE L'URINE

//cleptoparasite;NOURRITURE  DU VOL À COTÉ
cleptoparasite;NOURRITURE  DU VOL CONTRE

//cocarcinogène;GÉNÉRATEUR / ORIGINE  AVEC DU CANCER
cocarcinogène;GÉNÉRATEUR / ORIGINE  AVEC DU CRUSTACÉ

considérable;QUI PEUT ÊTRE  AVEC DU FER
//considérable;QUI PEUT ÊTRE  AVEC DE L'ASTRE -> DE LA STUPEUR

considération;ACTION  AVEC DU FER
//considération;ACTION  AVEC DE L'ASTRE -> DE LA STUPEUR

diaconesse;QUALITÉ  À TRAVERS AVEC
diaconesse;FÉMININ  À TRAVERS AVEC

diagraphique;À PROPOS  DOUBLE SANS DE L'ÉCRITURE
diagraphique;ÉCRITURE  DOUBLE SANS
//diagraphique;À PROPOS  À TRAVERS DE L'ÉCRITURE

diaphonique;À PROPOS  DOUBLE SANS DE LA VOIX
diaphonique;VOIX  DOUBLE SANS
//diaphonique;À PROPOS  À TRAVERS DE LA VOIX

discographique;À PROPOS  DE LA SÉPARATION AVEC DE L'ÉCRITURE
discographique;ÉCRITURE  DE LA SÉPARATION AVEC
//discographique;À PROPOS  DU DISQUE DE L'ÉCRITURE

//ectoparasite;NOURRITURE  AU DEHORS À COTÉ
ectoparasite;NOURRITURE  AU DEHORS CONTRE

//électrosidérurgie;TRAVAIL  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU FER
électrosidérurgie;TRAVAIL  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'ASTRE -> DE LA STUPEUR

//endoparasite;NOURRITURE  À L'INTÉRIEUR À COTÉ
endoparasite;NOURRITURE  À L'INTÉRIEUR CONTRE

//géocarcinologie;ÉTUDE  DE LA TERRE DU CANCER
géocarcinologie;ÉTUDE  DE LA TERRE DU CRUSTACÉ

hémiparalysie;DÉCOMPOSITION  À MOITIÉ À COTÉ
hémiparalysie;DÉCOMPOSITION  À MOITIÉ CONTRE

//hémiparaplégie;PARALYSIE  À MOITIÉ À COTÉ
hémiparaplégie;PARALYSIE  À MOITIÉ CONTRE

//hémiparasite;NOURRITURE  À MOITIÉ À COTÉ
hémiparasite;NOURRITURE  À MOITIÉ CONTRE

//hyperparasite;NOURRITURE  AU-DESSUS À COTÉ
hyperparasite;NOURRITURE  AU-DESSUS CONTRE

//hypersidérémie;SANG  AU-DESSUS DU FER
hypersidérémie;SANG  AU-DESSUS DE L'ASTRE -> DE LA STUPEUR

//hyposidérémie;SANG  INFÉRIEUR(E) DU FER
hyposidérémie;SANG  INFÉRIEUR(E) DE L'ASTRE -> DE LA STUPEUR

lithosidérite;INFLAMMATION  DE LA PIERRE DU FER
lithosidérite;INFLAMMATION  DE LA PIERRE DE L'ASTRE -> DE LA STUPEUR

mélodieuse;AGENTE / QUALITÉ  DU MEMBRE DOUBLE
//mélodieuse;AGENTE / QUALITÉ  DU CHANT DOUBLE

mélodieux;AGENT / QUALITÉ  DU MEMBRE DOUBLE
//mélodieux;AGENT / QUALITÉ  DU CHANT DOUBLE

//microparasite;NOURRITURE  PETIT(E) À COTÉ
microparasite;NOURRITURE  PETIT(E) CONTRE

//monotoxicomane;MANIAQUE  UNIQUE TOXIQUE
monotoxicomane;MAIN  UNIQUE TOXIQUE

//oligosidérémie;SANG  PARCIMONIEUX (-EUSE) DU FER
oligosidérémie;SANG  PARCIMONIEUX (-EUSE) DE L'ASTRE -> DE LA STUPEUR

orogénique;À PROPOS  DE LA MONTAGNE DE LA RACE
orogénique;À PROPOS  DE LA BOUCHE DE LA RACE

//orographique;À PROPOS  DE LA MONTAGNE DE L'ÉCRITURE
orographique;À PROPOS  DE LA BOUCHE DE L'ÉCRITURE

//orométrique;À PROPOS  DE LA MONTAGNE DE LA MESURE
orométrique;À PROPOS  DE LA BOUCHE DE LA MESURE

//orthopédagogue;MENEUR  DROIT(E) DE L'ENFANT
orthopédagogue;CONDUCTION -> ÉCOULEMENT  DROIT(E) DE L'ENFANT

osmométrique;À PROPOS  DE L'ODEUR DE LA MESURE
//osmométrique;À PROPOS  DE LA POUSSÉE DE LA MESURE

paracentrique;À PROPOS  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS DU CENTRE
paracentrique;CENTRÉ  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS
//paracentrique;À PROPOS  À COTÉ DU CENTRE
paracentrique;À PROPOS  CONTRE DU CENTRE

//paraconique;À PROPOS  À COTÉ AVEC
paraconique;À PROPOS  CONTRE AVEC

//paracystite;INFLAMMATION  À COTÉ DE LA VESSIE -> DE LA VÉSICULE
paracystite;INFLAMMATION  CONTRE DE LA VESSIE -> DE LA VÉSICULE

//paradiaphonie;VOIX  À COTÉ À TRAVERS
paradiaphonie;VOIX  CONTRE À TRAVERS

//paradoxologie;ÉTUDE  À COTÉ DE L'OPINION
paradoxologie;ÉTUDE  CONTRE DE L'OPINION

//parahémophilie;AMOUR  À COTÉ DU SANG
parahémophilie;AMOUR  CONTRE DU SANG

//parahydrogène;GÉNÉRATEUR / ORIGINE  À COTÉ DE L'EAU
parahydrogène;GÉNÉRATEUR / ORIGINE  CONTRE DE L'EAU

//paramastite;INFLAMMATION  À COTÉ DU SEIN
paramastite;INFLAMMATION  CONTRE DU SEIN

//paramétrable;QUI PEUT ÊTRE  À COTÉ DE LA MESURE
paramétrable;QUI PEUT ÊTRE  CONTRE DE LA MESURE

paramétrique;À PROPOS  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS DE LA MESURE
paramétrique;MESURAGE  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS
//paramétrique;À PROPOS  À COTÉ DE LA MESURE
paramétrique;À PROPOS  CONTRE DE LA MESURE

paramorphisme;DOCTRINE / ÉTAT / PROFESSION  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS DE LA FORME
paramorphisme;FORME  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS
//paramorphisme;DOCTRINE / ÉTAT / PROFESSION  À COTÉ DE LA FORME
paramorphisme;DOCTRINE / ÉTAT / PROFESSION  CONTRE DE LA FORME

//paramyélocyte;CELLULE  À COTÉ DE LA MOELLE
paramyélocyte;CELLULE  CONTRE DE LA MOELLE

//paranéoplastique;FAÇONNEMENT  À COTÉ NOUVEAU (-VELLE)
paranéoplastique;FAÇONNEMENT  CONTRE NOUVEAU (-VELLE)

//paranéoptère;AILE  À COTÉ NOUVEAU (-VELLE)
paranéoptère;AILE  CONTRE NOUVEAU (-VELLE)

//paranéphrite;INFLAMMATION  À COTÉ DU REIN
paranéphrite;INFLAMMATION  CONTRE DU REIN

//paraphilique;À PROPOS  À COTÉ DE L'AMOUR
paraphilique;À PROPOS  CONTRE DE L'AMOUR

//paraphlébite;INFLAMMATION  À COTÉ DE LA VEINE
paraphlébite;INFLAMMATION  CONTRE DE LA VEINE

//paraphysiothérapique;MÉDECINE  À COTÉ DU CORPS
paraphysiothérapique;MÉDECINE  CONTRE DU CORPS

parapithèque;RANGEMENT  À TRAVERS / DE PART EN PART / TERMINER / INTENSE DE L'ABEILLE
parapithèque;SINGE  À TRAVERS / DE PART EN PART / TERMINER / INTENSE SANS

//parapneumolyse;DÉCOMPOSITION  À COTÉ DU POUMON
parapneumolyse;DÉCOMPOSITION  CONTRE DU POUMON

//parapsychique;À PROPOS  À COTÉ DE L'ÂME
parapsychique;À PROPOS  CONTRE DE L'ÂME

//parapsychologie;ÉTUDE  À COTÉ DE L'ÂME
parapsychologie;ÉTUDE  CONTRE DE L'ÂME

//parapsychologique;ÉTUDE  À COTÉ DE L'ÂME
parapsychologique;ÉTUDE  CONTRE DE L'ÂME

//parapsychologue;SPÉCIALISTE / DISCOURS  À COTÉ DE L'ÂME
parapsychologue;SPÉCIALISTE / DISCOURS  CONTRE DE L'ÂME

parasympathique;MALADIE  À COTÉ AVEC
//parasympathique;MALADIE  CONTRE AVEC

//parasynonyme;NOM  À COTÉ AVEC
parasynonyme;NOM  CONTRE AVEC

pentadécagone;PROCRÉATION  CINQ DIX
//pentadécagone;ANGLE  CINQ DIX

pharmacosidérite;INFLAMMATION  DU MÉDICAMENT DU FER
pharmacosidérite;INFLAMMATION  DU MÉDICAMENT DE L'ASTRE -> DE LA STUPEUR

//phytoparasite;NOURRITURE  DU VÉGÉTAL À COTÉ
phytoparasite;NOURRITURE  DU VÉGÉTAL CONTRE

//polytoxicomane;MANIAQUE  MULTIPLE TOXIQUE
polytoxicomane;MAIN  MULTIPLE TOXIQUE

prostatorrhée;ÉCOULEMENT  DEVANT / EN FAVEUR DE / À LA PLACE DE IMMOBILE
prostatorrhée;ÉCOULEMENT  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'ÉTAT
prostatorrhée;ÉCOULEMENT  DEVANT / EN FAVEUR DE / À LA PLACE DE FIXÉ(E)

prostatotomie;DÉCOUPE  DEVANT / EN FAVEUR DE / À LA PLACE DE IMMOBILE
prostatotomie;DÉCOUPE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'ÉTAT
prostatotomie;DÉCOUPE  DEVANT / EN FAVEUR DE / À LA PLACE DE FIXÉ(E)

protypographique;À PROPOS  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'EMPREINTE DE L'ÉCRITURE
//protypographique;ÉCRITURE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'EMPREINTE

pseudoparalysie;DÉCOMPOSITION  FAUX -> PRESQUE À COTÉ
//pseudoparalysie;DÉCOMPOSITION  FAUX -> PRESQUE CONTRE

//pseudoparasite;NOURRITURE  FAUX -> PRESQUE À COTÉ
pseudoparasite;NOURRITURE  FAUX -> PRESQUE CONTRE

//psychopédagogue;MENEUR  DE L'ÂME DE L'ENFANT
psychopédagogue;CONDUCTION -> ÉCOULEMENT  DE L'ÂME DE L'ENFANT

publicisation;ACTION  DE LA PUBLICITÉ EN DEÇÀ
publicisation;ACTION  PUBLIC (PUBLIQUE) EN DEÇÀ

//schizoparaphasie;DIRE  FENDU(E) À COTÉ
schizoparaphasie;DIRE  FENDU(E) CONTRE

somatoparaphrénie;ESPRIT  DU CORPS À COTÉ
somatoparaphrénie;ESPRIT  DU CORPS CONTRE

//statokinésimètre;MESUREUR  IMMOBILE DU MOUVEMENT
statokinésimètre;MESUREUR  DE L'ÉTAT DU MOUVEMENT
statokinésimètre;MESUREUR  FIXÉ(E) DU MOUVEMENT

//superparamagnétisme;AIMANTATION  SUPÉRIEUR(E) / DESSUS À COTÉ
superparamagnétisme;AIMANTATION  SUPÉRIEUR(E) / DESSUS CONTRE

transactinide;APPARENCE  DE LA MODIFICATION DU RAYON
//transactinide;APPARENCE  DU PASSAGE À TRAVERS / AU-DELÀ DU RAYON

transatmosphérique;SPHÈRE  DE LA MODIFICATION DE LA VAPEUR, L'AIR
//transatmosphérique;SPHÈRE  DU PASSAGE À TRAVERS / AU-DELÀ DE LA VAPEUR, L'AIR

transcystique;À PROPOS  DE LA MODIFICATION DE LA VESSIE -> DE LA VÉSICULE
//transcystique;À PROPOS  DU PASSAGE À TRAVERS / AU-DELÀ DE LA VESSIE -> DE LA VÉSICULE

transdermique;À PROPOS  DE LA MODIFICATION DE LA PEAU
//transdermique;À PROPOS  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PEAU

transgastrique;À PROPOS  DE LA MODIFICATION DU VENTRE
//transgastrique;À PROPOS  DU PASSAGE À TRAVERS / AU-DELÀ DU VENTRE

transgénique;À PROPOS  DE LA MODIFICATION DE LA RACE
//transgénique;À PROPOS  DU PASSAGE À TRAVERS / AU-DELÀ DE LA RACE

transplantable;QUI PEUT ÊTRE  DE LA MODIFICATION DE LA PLANTE
//transplantable;QUI PEUT ÊTRE  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

transplantation;ACTION  DE LA MODIFICATION DE LA PLANTE
//transplantation;ACTION  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

transplanteur;AGENT / QUALITÉ  DE LA MODIFICATION DE LA PLANTE
//transplanteur;AGENT / QUALITÉ  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

transplanteuse;AGENTE / QUALITÉ  DE LA MODIFICATION DE LA PLANTE
//transplanteuse;AGENTE / QUALITÉ  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

//zooparasite;NOURRITURE  DE L'ANIMAL À COTÉ
zooparasite;NOURRITURE  DE L'ANIMAL CONTRE

//paramétrite;INFLAMMATION  À COTÉ DE LA MATRICE
paramétrite;INFLAMMATION  CONTRE DE LA MATRICE

clinopyroxène;HÔTE  DE L'INCLINAISON DU FEU


centauresse;QUALITÉ  DU CENTIÈME SANS DE L'URINE
centauresse;FÉMININ  DU CENTIÈME SANS DE L'URINE

déconsidération;ACTION  ENLEVER AVEC DU FER
//déconsidération;ACTION  ENLEVER AVEC DE L'ASTRE -> DE LA STUPEUR : dé - con - sidér - ation

diaconesse;QUALITÉ  DOUBLE SANS AVEC
diaconesse;FÉMININ  DOUBLE SANS AVEC

hétérotransplantation;ACTION  DE L'AUTRE DE LA MODIFICATION DE LA PLANTE
hétérotransplantation;ACTION  DE L'AUTRE DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

homotransplantation;ACTION  IDENTIQUE DE LA MODIFICATION DE LA PLANTE
homotransplantation;ACTION  IDENTIQUE DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

hyperchloruration;ACTION  AU-DESSUS CHLORÉ(E) DE L'URINE
hyperchloruration;ACTION  AU-DESSUS VERT(E) DE L'URINE

hypochloruration;ACTION  INFÉRIEUR(E) CHLORÉ(E) DE L'URINE
hypochloruration;ACTION  INFÉRIEUR(E) VERT(E) DE L'URINE

isotransplantation;ACTION  IDENTIQUE DE LA MODIFICATION DE LA PLANTE
isotransplantation;ACTION  IDENTIQUE DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE

parasympatholytique;DÉCOMPOSITION  À COTÉ AVEC DE LA MALADIE
parasympatholytique;DÉCOMPOSITION  CONTRE AVEC DE LA MALADIE

