Lettre;Utilisé dans le Logotron;Niv.;_ Racine;Préfixe;Suffixe;Sens;Etymologie;Unicité;Explication;Exemples;Origine;Frequence;Exclusivité;RechercheV;;RechercheV;;Sens multiple
A;2;3;angusti;angusti-;;étroit(e);Du latin angustus (« étroit »).;angusti;;;Latin;Rare;;angusti-;2;;2;FALSE
A;2;3;ankylo;ankylo-;;courbé(e) -> raide / affaibli(e) / insensible;Du grec ancien ἀγκύλος, ankýlos (« courbé »).;;;ankylose;Grec;Rare;;ankylo-;2;;2;FALSE
A;1;1;ant;ant-;;contre;Du grec ancien ἀντί, anti (« contre », « au lieu de », « en comparaison de »).;anti;;antonyme;Grec;Moyen;;ant-;1;;1;FALSE
A;2;2;anté;anté-;;antérieur(e);Du latin ante (« avant »).;;;antéchrist;Latin;Rare;;anté-;2;;2;FALSE
A;1;2;anth;anth-;;la fleur;Du grec ancien ἄνθος, ánthos (« fleur »).;antho;;anthère;Grec;Absent;;anth-;1;;1;FALSE
A;2;2;anthe;;-anthe;fleur;Du grec ancien ἄνθος, ánthos (« fleur »).;antho;;hélianthe;Grec;Moyen;;;2;-anthe;2;FALSE
A;2;2;anthème;;-anthème;fleur;Du grec ancien ἄνθημα, anthêma (« inflorescence »).;antho;;chrysanthème;Grec;Rare;;;2;-anthème;2;FALSE
A;2;2;antho;antho-;;la fleur;Du grec ancien ἄνθος, ánthos (« fleur »).;antho;;anthologie;Grec;Moyen;;antho-;2;;2;FALSE
A;2;2;anthraco;anthraco-;;le charbon;Du grec ancien ἄνθραξ, ánthrax (« charbon »).;;;;Grec;Rare;;anthraco-;2;;2;FALSE
A;1;2;anthrop;anthrop-;;l'homme;Du grec ancien ἄνθρωπος, ánthrôpos (« être humain »).;anthropo;;;Grec;Rare;;anthrop-;1;;1;FALSE
A;2;2;anthrope;;-anthrope;homme;Du grec ancien ἄνθρωπος, ánthrôpos (« être humain »).;anthropo;;;Grec;Rare;;;2;-anthrope;2;FALSE
A;2;2;anthropie;;-anthropie;homme;Du grec ancien ἄνθρωπος, ánthrôpos (« être humain »).;anthropo;;;Grec;Rare;;;2;-anthropie;2;FALSE
A;1;2;anthropique;;-anthropique;homme;Du grec ancien ἄνθρωπος, ánthrôpos (« être humain »).;anthropo;;;Grec;Rare;;;1;-anthropique;1;FALSE
A;2;2;anthropo;anthropo-;;l'homme;Du grec ancien ἄνθρωπος, ánthrôpos (« être humain »).;anthropo;;;Grec;Frequent;;anthropo-;2;;2;FALSE
A;2;1;anti;anti-;;contre;Du grec ancien ἀντί, anti (« contre », « au lieu de », « en comparaison de »).;anti;;;Grec;Frequent;;anti-;2;;2;FALSE
A;2;1;anto;anto-;;contre;Du grec ancien ἀντί, anti (« contre », « au lieu de », « en comparaison de »).;anti;;antonomase, antonyme, antozonite;Grec;Rare;;anto-;2;;2;FALSE
A;2;2;anxio;anxio-;;inquiet(ète);Du latin anxiosus, de anxius (« inquiet »), radical de l’adjectif anxieux.;;;;Latin;Rare;;anxio-;2;;2;FALSE
A;2;2;api;api-;;l'abeille;Du latin apis (« abeille »).;;;;Latin;Moyen;;api-;2;;2;FALSE
A;1;3;apic;apic-;;le sommet;Du latin apex (« sommet »).;;;;Latin;Absent;;apic-;1;;1;FALSE
A;2;3;apico;apico-;;le sommet;Du latin apex (« sommet »).;;;;Latin;Absent;;apico-;2;;2;FALSE
A;2;3;apo;apo-;;hors;Du grec ancien ἀπό, apó (« hors de »).;apo;;;Grec;Frequent;;apo-;2;;2;FALSE
A;1;1;aqu;aqu-;;l'eau;Du latin aqua (« eau »).;aqua;;;Latin;Rare;;aqu-;1;;1;FALSE
A;2;1;aqua;aqua-;;l'eau;Du latin aqua (« eau »).;aqua;;;Latin;Moyen;;aqua-;2;;2;FALSE
A;2;1;arbori;arbori-;;l'arbre;Du latin arbor (« arbre »).;arbori;;arboricole;Latin;Rare;;arbori-;2;;2;FALSE
A;2;2;arcat;;-arcat;gouvernement;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;patriarcat;Grec;Rare;;;2;-arcat;2;FALSE
A;2;2;arche;;-arche;gouverneur;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;;Grec;Rare;;;2;-arche;2;FALSE
A;1;1;arché;arché-;;ancien(ne);;archéo;;;;Rare;;arché-;1;;1;FALSE
A;2;1;archéo;archéo-;;ancien(ne);;archéo;;;;Moyen;;archéo-;2;;2;FALSE
A;2;2;archi;archi-;;le gouverneur -> supérieur(e);Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;archiduc;Grec;Rare;;archi-;2;;2;FALSE
A;2;2;archie;;-archie;gouvernance;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;;Grec;Moyen;;;2;-archie;2;FALSE
A;1;2;archique;;-archique;gouvernance;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;;Grec;Moyen;;;1;-archique;1;FALSE
A;2;2;archisme;;-archisme;gouvernance;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;;Grec;Rare;;;2;-archisme;2;FALSE
A;2;3;aréo;aréo-;;léger(ère);Du grec ancien ἀραιόω, areo, « rendre moins dense, raréfier », basé sur ἀραιός, areos, « mince, étroit, peu profond », à ne pas confondre avec : aéro- : l'air : Du grec ancien ἀήρ, aêr.;;;;Grec;Moyen;;aréo-;2;;2;FALSE
A;2;2;aristo;aristo-;;excellent(e);Du grec. aristos (« excellent »).;;;;Grec;Moyen;;aristo-;2;;2;FALSE
A;1;2;arithm;arithm-;;le nombre;Du grec ancien ἀριθμός, arithmos (« nombre »).;;;;Grec;Absent;;arithm-;1;;1;FALSE
A;2;2;arithmé;arithmé-;;le nombre;Du grec ancien ἀριθμός, arithmos (« nombre »).;;;;Grec;Absent;;arithmé-;2;;2;FALSE
A;2;2;arithmo;arithmo-;;le nombre;Du grec ancien ἀριθμός, arithmos (« nombre »).;;;;Grec;Moyen;;arithmo-;2;;2;FALSE
A;2;2;arque;;-arque;gouverneur;Du grec ancien ἀρχι-, arkhi-, dérivé de ἄρχω, árkhô (« commencer, mener, gouverner »).;arche;;;Grec;Moyen;;;2;-arque;2;FALSE
A;1;2;arthr;arthr-;;l'articulation;;;;polyarthrite;;Moyen;;arthr-;1;;1;FALSE
A;2;2;arthro;arthro-;;l'articulation;;;;arthropode;;Frequent;;arthro-;2;;2;FALSE
A;0;3;asse;;-asse;(mauvaise) sorte;Équivalent de -ace et -as, il est issu : Du latin classique -acea, -acia en latin vulgaire. De la racine latine par l’intermédiaire de l’espagnol ou de l’italien.;;1°) Suffixe utilisé pour former des noms ou des adjectifs à nuance péjorative. 2°) Suffixe à valeur neutre.;blondasse, crevasse;Latin;Absent;;;0;-asse;0;FALSE
A;2;3;asthénie;;-asthénie;faiblesse;Du grec ancien ἀσθένεια, asthéneia (« faiblesse, absence de force »).;;;neurasthénie;Grec;Moyen;;;2;-asthénie;2;FALSE
A;2;1;astro;astro-;;le ciel;;astro;;;;Frequent;;astro-;2;;2;FALSE
A;1;1;ateur;;-ateur;agent;Du latin -or ou -ator qui donne -our en ancien français, puis -eur en moyen français.;;;;Latin;Frequent;;;1;-ateur;1;FALSE
A;2;2;athlon;;-athlon;sport;Du latin athlon (« concours »).;;;;Latin;Rare;;;2;-athlon;2;FALSE
A;1;2;ation;;-ation;action;Du latin -atio.;ation;;;Latin;Frequent;;;1;-ation;1;FALSE
A;2;2;atmo;atmo-;;la vapeur, l'air;Du grec ancien ἀτμός, atmós (« vapeur »).;;;atmosphère;Grec;Moyen;;atmo-;2;;2;FALSE
Â;2;2;âtre;;-âtre;un peu;Du latin -aster.;;;bleuâtre;Latin;Rare;;;2;-âtre;2;FALSE
A;1;2;atrice;;-atrice;agente;;;;;;Moyen;;;1;-atrice;1;FALSE
A;2;3;atto;atto-;;10^-18;Du danois atten (« dix-huit »), car dix-huit est l’exposant de 10−1 dans 10−18.;;;attoseconde;Danois;Absent;;atto-;2;;2;FALSE
A;1;1;audi;audi-;;le son;Du latin audire (« écouter »).;audio;;audible;Latin;Rare;;audi-;1;;1;FALSE
A;2;1;audio;audio-;;le son;Du latin audire (« écouter »).;audio;;audiomètre;Latin;Moyen;;audio-;2;;2;FALSE
A;2;2;auri;auri-;;l'or;;auri;;;;Rare;;auri-;2;;2;FALSE
A;2;3;auriculo;auriculo-;;l'oreille;Du latin auricula (lobe de l'oreille). Formé du radical auris (oreille) et du suffixe -culus (petit).;;;auriculothérapie;Latin;Rare;;auriculo-;2;;2;FALSE
A;2;1;auto;auto-;;de soi-même;;;;;;Frequent;;auto-;2;;2;FALSE
B;2;1;bacter;;-bacter;bactérie;;;;;;Rare;;;2;-bacter;2;FALSE
B;1;1;bactéri;bactéri-;;la bactérie;;;;;;Moyen;;bactéri-;1;;1;FALSE
B;2;1;bactério;bactério-;;la bactérie;;;;;;Moyen;;bactério-;2;;2;FALSE
B;2;2;bare;;-bare;poids / pression;Du grec ancien βάρος, baros (« poids »).;baro;;;Grec;Rare;;;2;-bare;2;FALSE
B;1;2;barique;;-barique;pression;Du grec ancien βάρος, baros (« poids »).;baro;;;Grec;Rare;;;1;-barique;1;FALSE
B;2;2;baro;baro-;;la pesanteur;Du grec ancien βάρος, baros (« poids »).;baro;;;Grec;Moyen;;baro-;2;;2;FALSE
B;2;2;bary;bary-;;lourd(e);Du grec ancien βάρος, baros (« poids »).;baro;;;Grec;Moyen;;bary-;2;;2;FALSE
B;2;3;bathy;bathy-;;profond(e);Du grec ancien βαθύς, bathys (« profond »).;;;;Grec;Moyen;;bathy-;2;;2;FALSE
B;2;1;bi;bi-;;double;;bi;;;;Frequent;;bi-;2;;2;FALSE
B;2;1;biblio;biblio-;;le livre;;;;;;Frequent;;biblio-;2;;2;FALSE
B;2;1;bie;;-bie;vie;Du grec ancien βίος, bíos (« vie »).;bio;;;Grec;Moyen;;;2;-bie;2;FALSE
B;2;1;bio;bio-;;la vie;Du grec ancien βίος, bíos (« vie »).;bio;;;Grec;Frequent;;bio-;2;;2;FALSE
B;2;1;bionte;;-bionte;vivre;Du grec ancien βιῶν participe présent de βιόω (« vivre »).;bio;;;Grec;Rare;;;2;-bionte;2;FALSE
B;2;1;biote;;-biote;vie;Du grec ancien βίος, bíos (« vie »).;bio;;;Grec;Moyen;;;2;-biote;2;FALSE
B;2;1;biotique;;-biotique;vie;Du grec ancien βιοτικός, biōtikos (« de la vie »).;bio;;;Grec;Moyen;;;2;-biotique;2;FALSE
B;1;1;bis;bis-;;double;;bi;;;;Rare;;bis-;1;;1;FALSE
B;1;3;blast;blast-;;le germe;Du grec ancien βλαστός, blastos (« germe ») apparenté à βλάστη, blastê.;;;;Grec;Frequent;;blast-;1;;1;FALSE
B;2;3;blaste;;-blaste;germe;Du grec ancien βλαστός, blastos (« germe ») apparenté à βλάστη, blastê.;;;;Grec;Frequent;;;2;-blaste;2;FALSE
B;2;3;blasto;blasto-;;le germe;Du grec ancien βλαστός, blastos (« germe ») apparenté à βλάστη, blastê.;;;;Grec;Moyen;;blasto-;2;;2;FALSE
B;0;3;blème;;-blème;impact / trace;Du grec βλῆμα, blêma (« coup, jet »).;;Un seul mot trouvé : non retenu;astroblème;Grec;Absent;;;0;-blème;0;FALSE
B;2;3;bole;;-bole;jet;Du grec ancien βολή, bolê (« jet »), de βάλλω, ballô (« lancer »).;;Lancement d'un objet, déplacement, transformation, changement;;Grec;Moyen;;;2;-bole;2;FALSE
B;1;3;bolique;;-bolique;jet;Du grec ancien βολή, bolê (« jet »), de βάλλω, ballô (« lancer »).;;;;Grec;Moyen;;;1;-bolique;1;FALSE
B;2;3;bolisme;;-bolisme;jet;Du grec ancien βολή, bolê (« jet »), de βάλλω, ballô (« lancer »).;;;;Grec;Moyen;;;2;-bolisme;2;FALSE
B;2;3;brachy;brachy-;;court(e);Du grec ancien βραχύς, brakhys (« court »).;;;;Grec;Moyen;;brachy-;2;;2;FALSE
B;2;3;brady;brady-;;lent(e);Du grec ancien βραδύς, bradys (« lent »).;;;;Grec;Moyen;;brady-;2;;2;FALSE
B;2;2;broncho;broncho-;;la bronche;;;;;;Moyen;;broncho-;2;;2;FALSE
B;2;3;bronto;bronto-;;le tonnerre;Du grec ancien βροντή, brontê (« tonnerre »).;;;;Grec;Rare;;bronto-;2;;2;FALSE
B;2;3;bryo;bryo-;;la mousse;Du grec ancien βρύον, bryon (« mousse »).;;;bryologie;Grec;Moyen;;bryo-;2;;2;FALSE
B;2;2;bullshito;bullshito-;;la connerie;;;;bullshitomètre;Néologisme amusant;Rare;;bullshito-;2;;2;FALSE
B;2;3;butyro;butyro-;;le beurre;Probablement dérivé du latin butyrum (« beurre »).;;;;Latin;Rare;;butyro-;2;;2;FALSE
C;2;2;caco;caco-;;mauvais(e);;caco;;;;Moyen;;caco-;2;;2;FALSE
C;1;3;calc;calc-;;le calcium;Du latin calx, calcis (« chaux »).;;;calciurie;Latin;Moyen;;calc-;1;;1;FALSE
C;2;3;calci;calci-;;le calcium;Du latin calx, calcis (« chaux »).;;;calciurie;Latin;Moyen;;calci-;2;;2;FALSE
C;0;3;caléido;caléido-;;de bel aspect;Du grec ancien καλός kalós (« beau »), εἶδος eîdos (« forme, aspect »).;;;caléidoscope (ou kaléidoscope);Grec;Absent;;caléido-;0;;0;FALSE
C;2;1;câlino;câlino-;;le câlin;;;;câlinothérapie;Néologisme amusant;Rare;;câlino-;2;;2;FALSE
C;2;3;calli;calli-;;beau (belle);Du grec ancien καλός, kalós (« beau »), ex.: calosome : joli scarabée.;;;;Grec;Moyen;;calli-;2;;2;FALSE
C;0;3;callo;callo-;;beau (belle);Du grec ancien καλός, kalós (« beau »), ex.: calosome : joli scarabée.;;;callopsite (ou calopsite);Grec;Absent;;callo-;0;;0;FALSE
C;2;3;calo;calo-;;beau (belle);Du grec ancien καλός, kalós (« beau »), ex.: calosome : joli scarabée.;;;calosome;Grec;Moyen;;calo-;2;;2;FALSE
C;1;2;calor;calor-;;la chaleur;Du latin calor, dérivé de caleo avec le suffixe -or.;calori;;;Latin;Absent;;calor-;1;;1;FALSE
C;2;2;calori;calori-;;la chaleur;Du latin calor, dérivé de caleo avec le suffixe -or.;calori;;;Latin;Moyen;;calori-;2;;2;FALSE
C;2;2;calorie;;-calorie;chaleur;Du latin calor, dérivé de caleo avec le suffixe -or.;calori;;;Latin;Rare;;;2;-calorie;2;FALSE
C;2;2;calorique;;-calorique;chaleur;Du latin calor, dérivé de caleo avec le suffixe -or.;calori;;;Latin;Moyen;;;2;-calorique;2;FALSE
C;2;1;cancéri;cancéri-;;le cancer;Du latin cancer (« crabe, chancre, cancer »).;cancéro;;;Latin;Rare;;cancéri-;2;;2;FALSE
C;2;1;cancéro;cancéro-;;le cancer;Du latin cancer (« crabe, chancre, cancer »).;cancéro;;;Latin;Moyen;;cancéro-;2;;2;FALSE
C;2;2;capillo;capillo-;;le cheveu;Du latin capillaris, capillus (« cheveu »).;;;capillotracté;Latin;Absent;;capillo-;2;;2;FALSE
C;2;1;capitalo;capitalo-;;capitaliste;;;;capitalocène;Néologisme amusant;Rare;;capitalo-;2;;2;FALSE
C;2;3;capri;capri-;;la chèvre;Du latin capra (« chèvre »).;;;capriculture;Latin;Rare;;capri-;2;;2;FALSE
C;1;2;carb;carb-;;le charbon;Du latin carbo (« charbon »).;carbo;;;Latin;Rare;;carb-;1;;1;FALSE
C;2;2;carbo;carbo-;;le charbon;Du latin carbo (« charbon »).;carbo;;;Latin;Moyen;;carbo-;2;;2;FALSE
C;2;3;carcino;carcino-;;le cancer;Du grec karkinos (« écrevisse, chancre, cancer »).;carcino : cancer;;;Grec;Moyen;;carcino-;2;;2;FALSE
C;2;3;carcino;carcino-;;le crustacé;Du grec karkinos (« écrevisse, chancre, cancer »).;carcino : crustacé;;;Grec;Moyen;;carcino-;2;;2;TRUE
C;1;1;card;card-;;le cœur;Du grec ancien καρδία, kardía (« cœur »).;;;;Grec;Frequent;;card-;1;;1;FALSE
C;2;1;carde;;-carde;cœur;Du grec ancien καρδία, kardía (« cœur »).;;;;Grec;Moyen;;;2;-carde;2;FALSE
C;2;1;cardi;cardi-;;le cœur;Du grec ancien καρδία, kardía (« cœur »).;;;;Grec;Moyen;;cardi-;2;;2;FALSE
C;2;1;cardie;;-cardie;cœur;Du grec ancien καρδία, kardía (« cœur »).;;;;Grec;Moyen;;;2;-cardie;2;FALSE
C;2;1;cardio;cardio-;;le cœur;Du grec ancien καρδία, kardía (« cœur »).;;;;Grec;Frequent;;cardio-;2;;2;FALSE
C;0;1;cardo;cardo-;;le cœur;cf. cardio-;;;;Grec;Absent;;cardo-;0;;0;FALSE
C;2;1;carni;carni-;;la chair / la viande;Du latin caro, carnis (« chair, viande »).;;;;Latin;Rare;;carni-;2;;2;FALSE
C;1;3;carp;carp-;;le fruit;Du grec ancien καρπός, karpós (« fruit »).;karpos : fruit;;carpique;Grec;Moyen;;carp-;1;;1;FALSE
C;2;3;carpe;;-carpe;poignet;Du grec ancien καρπός (karpos) (« poignet »).;karpos : poignet;;métacarpe, carpectomie;Grec;Frequent;métacarpe, carpectomie;;2;-carpe;2;FALSE
C;2;3;carpe;;-carpe;fruit;Du grec ancien καρπός, karpós (« fruit »).;karpos : fruit;;cyclocarpe;Grec;Frequent;;;2;-carpe;2;TRUE
